javascript,python,golang,java,kotlin,php,swift,r,ruby,c,matlab,typescript,scala,sql,html,css,mysql,nosql,rust,perl,c_sharp,cpp,title,location,url
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,Software Engineer,Leicester,https://www.reed.co.uk/jobs/software-engineer/49393066?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,Software Engineer ,Middleton Stoney,https://www.reed.co.uk/jobs/software-engineer/49256627?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Software Engineer,Farnborough,https://www.reed.co.uk/jobs/software-engineer/49356422?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,Software Engineer,Bermondsey,https://www.reed.co.uk/jobs/software-engineer/48775696?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Software Engineer,Farnborough,https://www.reed.co.uk/jobs/software-engineer/49579856?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,Software Engineer,Leeds,https://www.reed.co.uk/jobs/software-engineer/49563423?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Software Engineer,Manchester,https://www.reed.co.uk/jobs/software-engineer/49434066?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Software Engineer,London,https://www.reed.co.uk/jobs/software-engineer/49570567?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,Software Engineer,London,https://www.reed.co.uk/jobs/software-engineer/48912548?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,SOFTWARE ENGINEER,Leeds,https://www.reed.co.uk/jobs/software-engineer/49563393?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Software Engineer,Nottingham,https://www.reed.co.uk/jobs/software-engineer/49513821?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Software Engineer,Nuffield Industrial Estate,https://www.reed.co.uk/jobs/software-engineer/49218527?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Software Engineer,Bristol,https://www.reed.co.uk/jobs/software-engineer/49408618?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Software Engineer,Edinburgh,https://www.reed.co.uk/jobs/software-engineer/49576062?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOFTWARE ENGINEER,Manchester,https://www.reed.co.uk/jobs/software-engineer/49552458?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Software Engineer,London,https://www.reed.co.uk/jobs/software-engineer/49461274?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Software Engineer,Farnborough,https://www.reed.co.uk/jobs/software-engineer/49434604?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,Software Engineer,Manchester,https://www.reed.co.uk/jobs/software-engineer/49320587?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Software Engineer,Essex,https://www.reed.co.uk/jobs/software-engineer/49501928?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Software Engineer,Tewkesbury Business Park,https://www.reed.co.uk/jobs/software-engineer/49609709?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,Software Engineer,Manchester,https://www.reed.co.uk/jobs/software-engineer/49579195?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Software Engineer,Norwich,https://www.reed.co.uk/jobs/software-engineer/49563118?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Software Engineer,Portsmouth,https://www.reed.co.uk/jobs/software-engineer/49501934?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Software Engineer,Farnborough,https://www.reed.co.uk/jobs/software-engineer/49356328?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Software Engineer,Bristol,https://www.reed.co.uk/jobs/software-engineer/49314128?source=searchResults&filter=%2fjobs%2fsoftware-engineer-jobs
